id,name,latitude,longitude,country_code
w1093349306,Ramoz Eys Hospital,34.501964,69.083309,AF
w1094670809,Darman,34.50927,69.117693,AF
w1094686381,Kaim Hospital,34.534724,69.129555,AF
w1190756505,Emergency Health Centre,33.93156,68.68113,AF
w1209266755,شفاخانه امام علی,33.019785,67.503429,AF
w1211995221,Shuhada Hospital,33.134877,67.450785,AF
w1212686468,Mohammd Rasolulah,33.152182,67.546638,AF
w1245933323,د مهمند روغتون,31.615144,65.685316,AF
w1245935169,چينايي شفاخانه,31.620705,65.679716,AF
w1329679350,Emergency Health Centre,36.497515,68.908599,AF
w1330342222,Emergency Health Centre,36.022838,68.676245,AF
w1330342233,Central destrict hospital,36.18383,68.752242,AF
w1330352234,Kunduz MSF Trauma Centre,36.717706,68.862251,AF
w1332673310,Balkh district hospital,36.751089,66.898006,AF
w1336509472,Tank-e-tail hospital,34.501566,69.073491,AF
w1337059818,شفاخانه آتاترک,34.520927,69.133755,AF
w1337690668,Bamyan Hospital,34.834662,67.780633,AF
w1339179504,Emergency Health Centre,33.557497,68.420575,AF
w1343549487,بیمارستان منطقه ای مزارشریف,36.715521,67.107996,AF
w1344507406,شفاخانه نور,34.326121,62.217922,AF
w1344785799,بلال روغتون,31.621331,65.715656,AF
w1350598051,Emergency Health Centre,34.523732,69.191634,AF
w1356103098,بخش اطفال,33.726988,66.149394,AF
w1360073109,شفاخانه علی آباد,34.533263,69.159919,AF
w1360073114,Shekh Mesri Hospital,34.377022,70.32571,AF
w1446964743,Shahidan Clinic Grounds,34.80598,67.585948,AF
w1454581345,د محمود راقي ولايتي روغتون,35.020918,69.358559,AF
w1494767386,Emergency Health Centre,34.580019,69.214989,AF
r18234112,د کندوز ولایتي روغتون,36.709463,68.863552,AF
r18305660,Emergency Health Centre,34.378887,62.140838,AF
r18506025,General Police Hospital,34.427347,70.465915,AF
r19858011,Emergency Health Centre,34.535846,69.102383,AF
n1306516468,Emergency Health Centre,40.722049,19.561936,AL
n2405791969,Çorovoda's Hospital,40.501478,20.228126,AL
n3507659985,Farmaci,41.39462,19.655277,AL
n3507661954,Qendra dentare Vini,41.393604,19.654509,AL
n3507661955,Qender Dentare,41.392856,19.655346,AL
n3507662209,Qender veterianre,41.389203,19.656967,AL
n3507683885,Klinika private Ana,41.397086,19.652301,AL
n3508511635,Qendra Spitalore Marqinet,41.401756,19.649248,AL
n3883792399,Diamond Dental,41.326121,19.803647,AL
n3905171411,Emergency Health Centre,41.779664,19.650143,AL
n4321403292,Spitali Psikiatrik Ali Mihali,40.452305,19.497563,AL
n4375407772,Urgjencë,39.874496,20.000612,AL
n4603494388,emergency 1,41.425795,19.757055,AL
n4603494489,emergency 2,41.430574,19.774889,AL
n4603930619,Klinika Eltion,41.338934,19.803127,AL
n4742117923,"Ambulanca Qendrore ""Dimal""",40.772553,19.877881,AL
n5022528667,Theth,42.394664,19.776425,AL
n5397087979,Spital Privat,42.062397,19.511885,AL
n6027270881,Psikiatria Infantile,41.338859,19.836265,AL
n6027270882,Psikiatria,41.338589,19.83709,AL
n6267547309,"Qëndra Shendetsore ""Thoma Rrudha""",40.684295,19.618546,AL
n7078852986,Qendra Shendetsore Helshan,42.215493,20.279759,AL
n7572976787,Emergency Health Centre,39.874599,20.00065,AL
n7573306886,Spitali Isa Zllami Tropojë,42.363496,20.074712,AL
n8892354833,Spitali Amerikan Gjirokastër,40.083058,20.140463,AL
n9149594881,Ambulanca Cfir,40.633826,19.818088,AL
n9153950537,Emergency Health Centre,40.70497,19.955309,AL
n10079210317,Kryqi i Kuq,41.327616,19.453455,AL
n10860652299,Qëndra shëndetësore,40.713802,19.830486,AL
n11076097325,Spitali i Zemres,41.327514,19.805271,AL
n11494114569,Emergency Health Centre,41.342382,19.833485,AL
n12859626813,Dentisti a Tirana,41.321515,19.813918,AL
n13395033837,Klinika Dentare Ngjeçi,42.077195,20.42241,AL
w240622967,Kompleksi Spitalor Rajonal Elbasan,41.125436,20.08282,AL
w269906354,Spitali Gjerman,41.326358,19.806256,AL
w280794229,Spitali Kavajë,41.182641,19.547959,AL
w283436866,Spitali Rajonal Fier,40.723917,19.560653,AL
w283816127,Spitali Amerikan Fier,40.723688,19.559926,AL
w318517481,Qendra shendetsore Shen Scalabrini,42.022927,19.575552,AL
w318665802,MediCare Hospital,41.333729,19.804059,AL
w343988156,Qendra Spitalore Vorë,41.391747,19.658678,AL
w344111129,Qendra Komunitare e Shëndetit Mendor nr.1,41.320094,19.827975,AL
w356922410,"Qendra Spitalore Universitare ""Nënë Teresa""",41.340365,19.833044,AL
w378657446,Spitali Rajonal Shkoder,42.074067,19.524826,AL
w380252356,Spitali,40.478106,19.500822,AL
w387252693,Qendra Shendetsore Lezhe,41.778621,19.644379,AL
w387449805,Emergency Health Centre,41.779801,19.650251,AL
w387455398,Spitali Obstetrik Gjinekologjik,41.77698,19.643536,AL
w450811276,Emergency Health Centre,40.863687,19.706792,AL
w457216792,Spitali Amerikan 2,41.342107,19.832463,AL
w459674859,Spitali Gjerman 2,41.337088,19.831862,AL
w461136805,"Spital Civil ""Teni Konomi"" Korçë",40.611291,20.785915,AL
w462342973,Spitali,42.043055,19.899139,AL
w463111180,Spitali Universitar i Traumës (SUT),41.343171,19.795312,AL
w463111184,Spitali Amerikan 1,41.343577,19.795829,AL
w471788937,"Spitali Universitar Obstetrik-Gjinekologjik ""Mbretëresha Geraldinë""",41.334681,19.817399,AL
w478498083,Spitali Amerikan Laboratori Qendror,41.334096,19.817134,AL
w484682732,Shërbimi i Shëndetit Mendor me Shtretër,42.073315,19.526001,AL
w484682743,Spitali Shkodër,42.073681,19.523332,AL
w505281131,"Spitali ""Haxhi Derri""",42.196169,20.411676,AL
w506106257,Spitali Devoll,40.624683,20.987893,AL
w506268260,Ish Spitali,40.494029,19.281452,AL
w531933875,Sanatoriumi Shkoder,42.075225,19.52132,AL
w548098442,Spitali Amavita,41.321385,19.829555,AL
w669153724,Spitali Kolonjë Shaniko Jupasi,40.336899,20.681307,AL
w677131021,Qendra Shëndetësore,40.932463,20.435334,AL
w693917202,Spitali Përgjithshëm Bashkiak Gramsh,40.865708,20.185992,AL
w709232884,Emergency Health Centre,41.687458,20.426215,AL
w711278434,Spitali Amerikan Durrës,41.325767,19.445864,AL
w712353029,Spitali Iniversitar Shefqet Ndroqi,41.313843,19.844159,AL
w748648347,Salus,41.344375,19.762172,AL
w852192859,Spitali i Himarës,40.102011,19.744697,AL
w920549049,Spitali Rajonal Memorial Fier,40.747008,19.554691,AL
w986189421,Spitali Rajonal - Berat,40.701754,19.968736,AL
w1019437832,Spitali i Ballshit,40.596393,19.730817,AL
w1127369456,Spital Universitar Obstetrik Gjinekolgjik Koço Gliozheni,41.331328,19.838177,AL
w1131276181,"ASHR - Autoriteti Shendetësor Rajonal, Tiranë",41.321905,19.826548,AL
w1163360919,Emergency Health Centre,41.338904,19.836817,AL
w1230008819,Spitali Amerikan 3,41.320758,19.7843,AL
w1268266144,Hygeia Hospital,41.34449,19.774309,AL
w1296603507,Spitali Durres,41.326462,19.444381,AL
w1311278935,Spitali Continental,41.331659,19.84858,AL
w1316185123,Spitali i Sarandës,39.874302,20.000654,AL
w1317110845,Spitali Mirditë,41.770254,19.874129,AL
w1317933266,Emergency Health Centre,41.490907,20.213959,AL
w1318439089,Emergency Health Centre,40.800534,19.922186,AL
w1318824968,Belsh Hospital,40.979442,19.88887,AL
w1319282770,Emergency Health Centre,42.082113,20.416086,AL
w1319311607,Emergency Health Centre,40.151075,20.599256,AL
w1322114410,Emergency Health Centre,41.638742,19.713743,AL
w1322623963,Qendra Shëndetësore Shijak,41.342714,19.567066,AL
w1322871620,Spirali Librazhd,41.183863,20.317561,AL
w1322873774,Qendra Shëndetësore Rrogozhinë,41.077366,19.667031,AL
w1322874374,Emergency Health Centre,41.05039,19.751172,AL
w1322875951,Emergency Health Centre,41.074478,20.551402,AL
w1322879774,Spitali Lushnjes,40.933917,19.711347,AL
w1322881800,Materniteti,40.902017,20.655853,AL
w1322882940,Spitali,40.901215,20.651892,AL
w1322901362,Qendra Shëndetësore Roskovec,40.736042,19.709663,AL
w1322946997,Infektivi,40.47792,19.499647,AL
